DATE-TIME	LANE	VOLUME (Veh/10sec)	VEL (MPH)	OCC %	%MID	%LARGE	SENSOR-TIME
9/25/06 1:44 AM	1	2	50	20	0	100	212453060
9/25/06 1:44 AM	1	0	50	0	0	0	212453070
9/25/06 1:44 AM	1	0	50	0	0	0	212453080
9/25/06 1:44 AM	1	0	50	0	0	0	212453090
9/25/06 1:45 AM	1	1	46	9.7	0	100	212453100
9/25/06 1:45 AM	1	0	46	0	0	0	212453110
9/25/06 1:45 AM	1	0	46	0	0	0	212453120
9/25/06 1:45 AM	1	1	46	6.4	0	100	212453130
9/25/06 1:45 AM	1	0	46	0	0	0	212453140
9/25/06 1:45 AM	1	1	46	2.3	0	0	212453150
9/25/06 1:46 AM	1	1	46	2.7	0	0	212453160
9/25/06 1:46 AM	1	0	46	0	0	0	212453170
9/25/06 1:46 AM	1	0	46	0	0	0	212453180
9/25/06 1:46 AM	1	0	46	0	0	0	212453190
9/25/06 1:46 AM	1	0	46	0	0	0	212453200
9/25/06 1:46 AM	1	0	46	0	0	0	212453210
9/25/06 1:47 AM	1	0	46	0	0	0	212453220
9/25/06 1:47 AM	1	1	48	3.1	100	0	212453230
9/25/06 1:47 AM	1	1	49	3.2	100	0	212453240
9/25/06 1:47 AM	1	0	49	0	0	0	212453250
9/25/06 1:47 AM	1	0	49	0	0	0	212453260
9/25/06 1:47 AM	1	1	49	8.5	0	100	212453270
9/25/06 1:48 AM	1	0	49	0	0	0	212453280
9/25/06 1:48 AM	1	0	49	0	0	0	212453290
9/25/06 1:48 AM	1	0	49	0	0	0	212453300
9/25/06 1:48 AM	1	0	49	0	0	0	212453310
9/25/06 1:48 AM	1	1	50	10.2	0	100	212453320
9/25/06 1:48 AM	1	0	50	0	0	0	212453330
9/25/06 1:49 AM	1	1	50	2.4	0	0	212453340
9/25/06 1:49 AM	1	0	50	0	0	0	212453350
9/25/06 1:49 AM	1	0	50	0	0	0	212453360
9/25/06 1:49 AM	1	1	50	2.1	0	0	212453370
9/25/06 1:49 AM	1	0	50	0	0	0	212453380
9/25/06 1:49 AM	1	1	53	9.2	0	100	212453390
9/25/06 1:50 AM	1	0	53	0	0	0	212453400
9/25/06 1:50 AM	1	0	53	0	0	0	212453410
9/25/06 1:50 AM	1	0	53	0	0	0	212453420
9/25/06 1:50 AM	1	1	53	2.7	0	0	212453430
9/25/06 1:50 AM	1	1	55	10.3	0	100	212453440
9/25/06 1:50 AM	1	0	55	0	0	0	212453450
9/25/06 1:51 AM	1	2	56	12.7	50	50	212453460
9/25/06 1:51 AM	1	0	56	0	0	0	212453470
9/25/06 1:51 AM	1	1	57	3	100	0	212453480
9/25/06 1:51 AM	1	0	57	0	0	0	212453490
9/25/06 1:51 AM	1	0	57	0	0	0	212453500
9/25/06 1:51 AM	1	0	57	0	0	0	212453510
9/25/06 1:52 AM	1	0	57	0	0	0	212453520
9/25/06 1:52 AM	1	0	57	0	0	0	212453530
9/25/06 1:52 AM	1	1	56	9.8	0	100	212453540
9/25/06 1:52 AM	1	0	56	0	0	0	212453550
9/25/06 1:52 AM	1	0	56	0	0	0	212453560
9/25/06 1:52 AM	1	0	56	0	0	0	212453570
9/25/06 1:53 AM	1	1	59	2.3	0	0	212453580
9/25/06 1:53 AM	1	2	56	22.6	0	100	212453590
9/25/06 1:53 AM	1	0	56	0	0	0	212453600
9/25/06 1:53 AM	1	0	56	0	0	0	212453610
9/25/06 1:53 AM	1	0	56	0	0	0	212453620
9/25/06 1:53 AM	1	1	55	8.7	0	100	212453630
9/25/06 1:54 AM	1	1	53	9	0	100	212453640
